| time |   in   |load |addr|  out   |
| 0+   |      0 |  0  |  0 |      0 |
| 1    |      0 |  0  |  0 |      0 |
| 1+   |      0 |  1  |  0 |      0 |
| 2    |      0 |  1  |  0 |      0 |
| 2+   |  13099 |  0  |  0 |      0 |
| 3    |  13099 |  0  |  0 |      0 |
| 3+   |  13099 |  1  |  1 |      0 |
| 4    |  13099 |  1  |  1 |  13099 |
| 4+   |  13099 |  0  |  0 |      0 |
| 5    |  13099 |  0  |  0 |      0 |
| 5+   |   4729 |  0  |  4 |      0 |
| 6    |   4729 |  0  |  4 |      0 |
| 6+   |   4729 |  1  |  4 |      0 |
| 7    |   4729 |  1  |  4 |   4729 |
| 7+   |   4729 |  0  |  4 |   4729 |
| 8    |   4729 |  0  |  4 |   4729 |
| 8    |   4729 |  0  |  1 |  13099 |
| 8+   |   5119 |  0  |  1 |  13099 |
| 9    |   5119 |  0  |  1 |  13099 |
| 9+   |   5119 |  1  |  5 |      0 |
| 10   |   5119 |  1  |  5 |   5119 |
| 10+  |   5119 |  0  |  5 |   5119 |
| 11   |   5119 |  0  |  5 |   5119 |
| 11   |   5119 |  0  |  4 |   4729 |
| 11   |   5119 |  0  |  5 |   5119 |
| 11+  |   5119 |  0  |  6 |      0 |
| 12   |   5119 |  0  |  6 |      0 |
| 12   |   5119 |  0  |  7 |      0 |
